Hannachi,Marwa,-,"Guelma, Algeria",Pseudoconvex hybridization of three descent vectors to build a new method of the conjugate gradient
Ilolov,Mamadsho,-,"Dushanbe, Tajikistan",On semilinear functional integro-differential equations in Banach space
Lobanova,Natalia,-,Zelenokumsk,Practice-oriented approach to the study of differential equations in high school
Naligama,Chamila,Anuradha,"Colombo, Sri Lanka",On asymptotic of decoupling transformation for time-invariant singularly perturbed systems with delay
Piskarev,Sergey,-,Moscow,Approximation of inverse problems
Saioudi,Ilham,-,"Guelma, Algeria",Block-by-block approximation for Volterra integro-differential equation with weakly singular kernel
Saioudi,Ilham,-,Guelma- Algeria,numerical approximation of the non-linear volterra integro-differential equations by the block by block method
Serov,Valery,S.,Oulu,Scattering problems for quasi-linear biharmonic operator
Абдурагимов,Гусен,Эльдерханович,Махачкала,О существовании и единственности положительного решения краевой задачи для одного нелинейного функционально - дифференциального уравнения
Абдюшева,Светлана,Рашитовна,Уфа,Модели прогнозирования численности населения
Абузярова,Наталья,Фаирбаховна,Уфа,О структуре синтезируемого дифференциально-инвариантного подпространства в пространстве бесконечно дифференцируемых функций на интервале.
Адхамова,Амина,Шухратовна,Москва,Гладкость обобщенного решения краевой задачи системы управления с последействием
Айзикович,Александр,Аркадьевич,Ижевск,Неосцилляция решений линейной разностной системы первого порядка.
Айнур,Рыскан,Рыскановна,Алматы,Решение задачи Неймана для уравнения Геллерстедта от четырех переменных
Аксенова,Зульфия,Фильгатовна,Уфа,Восстановление параметров резонатора и краевых условий геометрического графа из трех струн
Алиев,Акпер,Байрам,Баку,Исследования математической модели колебаний моста имеющий общую точку контакта с кабелем
Аликулов,Толиб,Норташивич,Ташкент,Применение дробных степеней сингулярного оператора Шредингера к исследованию задачи Коши для дифференциального уравнения параболического типа в банаховом пространстве
Алимбекова,Нурлана,Бауржановна,Усть-Каменогорск,Решение дробного уравнения колебания-диффузии методом Ритца-Галеркина
Алкади,Хамса,Мохамад,Воронеж,Корректная разрешимость абстрактной задачи Мейнарда
Андреева,Татьяна,Михайловна,Ростов-на-Дону,The surjectivity criteria for convolution operators on weighted spaces of functions holomorphic in bounded convex domains
Андрианова,Анастасия,Александровна,Казань,О применении искусственных иммунных систем для решения задачи обнаружения вторжений
Арутюнян,Роберт,Владимирович,Реутов,-
Арутюнян,Тигран,Робертович,Реутов,-
Асташова,Ирина,Викторовна,Москва,О качественных свойствах решений нелинейных дифференциальных уравнений высокого порядкадифференциальных уравнений
Асхабов,Султан,Нажмудинович,Грозный,Интегро-дифференциальное уравнение второго порядка со степенной нелинейностью и неоднородностью в линейной части
Атаев,Шоназар,Кадирович,Ташкент,"О разрешимости смешанной задачи для уравнения в частных производных высокого порядка с дробными производными по времени, со степени операторами Лапласа с пространственными переменными и нелокальными граничными условиями в классах Соболева"
Ахмедов,Джовидон,Толибович,Душанбе,Априорные оценки периодических и ограниченных решений дифференциального уравнения второго порядка
Бабаев,Махкамбек,Мадаминович,Ташкент,"О разрешимости смешанной задачи для уравнения в частных производных высокого порядка с дробными производными с запаздывающим аргументом по времени, со степени операторами Лапласа с пространственными переменными и нелокальными граничными условиями в классах Соболева"
Бадерко,Елена,Александровна,Москва,О единственности решения первой и второй начально-краевых задач для параболических систем в ограниченной области
Байгереев,Досан,Ракимгалиевич,Усть-Каменогорск,Численный метод решения задачи двухфазной неравновесной фильтрации методом конечных элементов
Байшемиров,Жарасбек,Дуйсембекович,Алматы,Осредненная модель двухфазного течений в многомасштабной трещиновато-пористой среде
Байшемиров,Жарасбек,Дуйсембекович,Алматы,Численное моделирование двухфазного течения в многомасштабной среде
Башкин,Михаил,Анатольевич,Рыбинск,Однородные супермногообразия над комплексной проективной прямой
Безмельницына,Юлия,Евгеньевна,Воронеж,Асимптотическое поведение решений случайных дифференциальных включений с каузальными операторами
Безмельницына,Юлия,Евгеньевна,Воронеж,Негладкие направляющие потенциалы и асимптотическое поведение решений случайных дифференциальных включений
Белова,Анна,Сергеевна,Уфа,Исследование устойчивости линейных гамильтоновых систем
Бердышев,Абдумаувлен,Сулейманович,Алматы,Решение краевой задачи со смешанными условиями для уравнения эллиптического типа
Бердышев,Виталий,Иванович,Екатеринбург,Оптимальное движение обьекта в окружении недружественных наблюдателей
Бильченко,Григорий (мл.),Григорьевич,Казань,О некоторых задачах анализа и синтеза управлений на проницаемых поверхностях гиперзвуковых летательных аппаратов. Часть 2
Бильченко,Григорий (ст.),Григорьевич,Казань,"Особенности кривых, задаваемых определяющими уравнениями"
Бильченко,Наталья,Григорьевна,Казань,О некоторых задачах анализа и синтеза управлений на проницаемых поверхностях гиперзвуковых летательных аппаратов. Часть 1
Бирюков,Алексей,Михайлович,Москва,Необходимые и достаточные условия корректности задачи Коши для систем комплексных дифференциальных уравнений в цилиндрических областях
Богатов,Андрей,Владимирович,Самара,Задача с динамическим краевым условием для одномерного гиперболического уравнения
Богомолов,Сергей,Владимирович,Москва,Вероятностные модели математической физики
Ботороева,Мария,Николаевна,Иркутск,Аналитические и численные методы решения слабосингулярных интегро-алгебраических уравнений с двумя особенностями
Будникова,Ольга,Сергеевна,Иркутск,Исследование разрешимости и численное решение одного класса интегро-алгебраических уравнений со слабой особенностью
Буздов,Беслан,Каральбиевич,Нальчик,Модель замораживания живой биоткани цилиндрическим криозондом вблизи крупного кровеносного сосуда
Булинская,Екатерина,Вадимовна,Москва,Оптимизация функционирования страховой компании
Бурлуцкая,Мария,Шаукатовна,Воронеж,Операторы с инволюцией и система Дирака
Бушуев,Алексей,Михайлович,Москва,Моделирование бифуркаций торов Лиувилля в интегрируемых системах механического происхождения
Васильев,Владимир,Борисович,Белгород,О краевых задачах с вырождением
Васильев,Михаил,Юрьевич,Москва,О положительных решениях с нестепенной асимптотикой уравнения типа Эмдена-Фаулера высокого порядка
Васильева,Ольга,Александровна,Москва,Моделирование автоуалитических реакций
Ватолкин,Михаил,Юрьевич,Ижевск,О представлении собственных функций одной квазидифференциальной краевой задачи второго порядка в виде сумм степенных рядов и об оценках для их коэффициентов
Вафина,Альбина,Ринатовна,Казань,О применении искусственных иммунных систем для решения задачи обнаружения вторжений
Вельмисов,Петр,Александрович,Ульяновск,Об одном классе начально-краевых задач в аэрогидроупругости
Власов,Виктор,Валентинович,Москва,Спектральный анализ и представление решений вольтерровых интегро-дифференциальных уравнений с дробно-экспоненциальными ядрами
Гетманова,Екатерина,Николаевна,Воронеж,О периодических решениях для случайных функционально-дифференциальных включений с правильными правыми частями
Гилёв,Антон,Владимирович,Самара,Краевая задача для нагруженного гиперболического уравнения
Гладышев,Юрий,Александрович,Калуга,"Об одном классе функций, определенных как решение обобщенной системы Коши-Римана"
Гликлих,Юрий,Евгеньевич,Воронеж,"Об одной задаче оптимального управления, связанной с описанием стохастической волатильности"
